City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Qaanaaq,GL,2020-10-26 21:07:21,77.48,-69.36,7.93,74,76,9.55
1,Touba,CI,2020-10-26 21:07:21,8.28,-7.68,74.89,64,97,0.72
2,Bredasdorp,ZA,2020-10-26 21:07:21,-34.53,20.04,64.4,82,100,14.99
3,Hermanus,ZA,2020-10-26 21:07:22,-34.42,19.23,64.0,82,85,5.99
4,Ushuaia,AR,2020-10-26 21:05:32,-54.8,-68.3,51.8,62,40,12.75
5,The Valley,AI,2020-10-26 21:07:22,18.22,-63.06,86.0,74,20,14.99
6,Bengkulu,ID,2020-10-26 21:07:22,-3.8,102.27,74.59,83,100,3.44
7,Pombal,BR,2020-10-26 21:07:22,-6.77,-37.8,91.02,26,0,9.55
8,Dikson,RU,2020-10-26 21:07:22,73.51,80.55,11.5,95,99,15.55
9,Cape Town,ZA,2020-10-26 21:06:12,-33.93,18.42,66.99,82,0,6.93
10,Hithadhoo,MV,2020-10-26 21:07:23,-0.6,73.08,83.17,66,45,7.38
11,Namibe,AO,2020-10-26 21:07:23,-15.2,12.15,69.39,78,79,1.12
12,Belyy Yar,RU,2020-10-26 21:07:23,53.6,91.39,39.2,93,40,11.18
13,Aljezur,PT,2020-10-26 21:07:23,37.32,-8.8,56.75,71,91,6.17
14,Labytnangi,RU,2020-10-26 21:07:23,66.66,66.42,5.36,93,10,6.42
15,Busselton,AU,2020-10-26 21:07:23,-33.65,115.33,55.99,79,48,9.33
16,Ust-Kalmanka,RU,2020-10-26 21:07:23,52.12,83.31,42.1,65,100,4.85
17,Souillac,MU,2020-10-26 21:07:23,-20.52,57.52,73.4,73,40,10.29
18,Saint-Philippe,RE,2020-10-26 21:07:23,-21.36,55.77,71.6,78,90,4.7
19,Abu Road,IN,2020-10-26 21:07:07,24.48,72.78,73.15,29,0,3.36
20,Yenagoa,NG,2020-10-26 21:07:24,4.92,6.26,76.57,92,100,5.21
21,Warri,NG,2020-10-26 21:07:24,5.52,5.75,76.98,91,85,3.15
22,Wawa,NG,2020-10-26 21:07:24,9.9,4.42,78.67,43,99,2.62
23,Yurimaguas,PE,2020-10-26 21:07:24,-5.9,-76.08,95.14,41,98,4.97
24,Beloha,MG,2020-10-26 21:07:08,-25.17,45.05,66.18,90,0,2.82
25,Chuy,UY,2020-10-26 21:07:24,-33.7,-53.46,57.83,91,100,16.98
26,Mulgund,IN,2020-10-26 21:07:24,15.25,75.53,72.91,71,0,5.66
27,Hamilton,US,2020-10-26 21:03:55,39.18,-84.53,50.0,81,90,5.82
28,Presidencia Roque Saenz Pena,AR,2020-10-26 21:06:08,-26.79,-60.44,76.19,52,0,8.16
29,Santiago Del Estero,AR,2020-10-26 21:07:25,-27.8,-64.26,82.87,15,0,11.9
30,Jamestown,US,2020-10-26 21:05:26,42.1,-79.24,46.99,93,90,6.93
31,Sao Filipe,CV,2020-10-26 21:07:25,14.9,-24.5,81.03,75,100,9.46
32,Codrington,AU,2020-10-26 21:07:25,-38.27,141.97,49.86,80,71,12.41
33,Jos,NG,2020-10-26 21:05:27,9.92,8.9,67.6,40,51,1.77
34,Oudtshoorn,ZA,2020-10-26 21:07:26,-33.59,22.2,62.6,100,3,8.05
35,San Jose,US,2020-10-26 21:03:48,37.34,-121.89,73.0,7,20,9.17
36,Bjornevatn,NO,2020-10-26 21:07:26,69.67,29.98,33.8,100,75,16.11
37,Bilma,NE,2020-10-26 21:07:26,18.69,12.92,70.03,23,0,0.4
38,Sohag,EG,2020-10-26 21:07:26,26.56,31.69,75.2,36,0,6.93
39,Ribeira Grande,PT,2020-10-26 21:07:26,38.52,-28.7,69.8,88,75,19.46
40,Joniskis,LT,2020-10-26 21:07:26,56.24,23.62,51.8,93,90,14.99
41,Lapeer,US,2020-10-26 21:07:27,43.05,-83.32,44.6,70,90,6.93
42,Upernavik,GL,2020-10-26 21:07:27,72.79,-56.15,17.73,81,99,5.1
43,Duku,NG,2020-10-26 21:07:27,11.24,4.91,78.48,31,1,3.87
44,Vestmannaeyjar,IS,2020-10-26 21:07:27,63.44,-20.27,43.23,76,100,25.9
45,Georgetown,MY,2020-10-26 21:04:27,5.41,100.34,75.2,94,20,2.24
46,Saint-Augustin,CA,2020-10-26 21:07:27,51.23,-58.65,34.74,71,95,9.69
47,Uniao,BR,2020-10-26 21:07:27,-4.59,-42.86,98.6,30,40,4.7
48,Warmbad,NA,2020-10-26 21:07:27,-28.45,18.73,69.8,38,0,8.97
